iter	Logloss
0	0.6891855263
1	0.6857920656
2	0.6825702438
3	0.6795059443
4	0.6760277806
5	0.6731718141
6	0.6703426773
7	0.6674343931
8	0.6649474531
9	0.6600998523
10	0.6577584045
11	0.6553855458
12	0.6516888588
13	0.6499168682
14	0.6461757078
15	0.6427735361
16	0.6393521649
17	0.6372029251
18	0.634102243
19	0.6309984063
20	0.6283852756
21	0.6258515831
22	0.6239778035
23	0.6212671774
24	0.619302315
25	0.6170320926
26	0.6154002754
27	0.6122378807
28	0.6102329708
29	0.6079426873
30	0.6048488548
31	0.6032345352
32	0.6011065
33	0.5990105342
34	0.5970991133
35	0.5949107362
36	0.5932477205
37	0.5910853471
38	0.5884295238
39	0.5868555725
40	0.5847209915
41	0.5823370522
42	0.5806373332
43	0.5781036797
44	0.57695274
45	0.5753263283
46	0.5717765302
47	0.5702961403
48	0.5697612943
49	0.5683034885
50	0.5658269502
51	0.5653255793
52	0.5644976113
53	0.5617447242
54	0.5602977571
55	0.5595256458
56	0.5581618682
57	0.5572676328
58	0.5557802155
59	0.553923272
60	0.5523642492
61	0.5512204572
62	0.5497841839
63	0.5483344605
64	0.5473129065
65	0.5458746085
66	0.5442108444
67	0.5420459321
68	0.541022553
69	0.5396203361
70	0.5385012127
71	0.5369237777
72	0.5355644079
73	0.5344334197
74	0.533399067
75	0.5323072537
76	0.5317324273
77	0.5311768851
78	0.5303534387
79	0.529101682
80	0.5284615965
81	0.527734156
82	0.5263100136
83	0.5250230425
84	0.5241294092
85	0.5239195454
86	0.5232142761
87	0.5226638607
88	0.5222949222
89	0.521192473
90	0.5203732704
91	0.5188306594
92	0.5177954443
93	0.516633043
94	0.5156525939
95	0.5145988652
96	0.5139557308
97	0.5127994902
98	0.5119363702
99	0.5105545538
100	0.5099211662
101	0.5080766449
102	0.5068842149
103	0.5065792429
104	0.5057644996
105	0.5049835269
106	0.5042083168
107	0.5035225885
108	0.5027152262
109	0.5017209009
110	0.5010435722
111	0.5000959204
112	0.4996798013
113	0.4987383707
114	0.4978374594
115	0.4970614119
116	0.4962727163
117	0.4951839881
118	0.4947812897
119	0.4943422209
120	0.4936361898
121	0.4931226221
122	0.492564196
123	0.4923717829
124	0.4913511887
125	0.4908106754
126	0.4898979627
