iter	Passed	Remaining
0	2	1713
1	4	1606
2	6	1459
3	7	1363
4	9	1281
5	11	1317
6	12	1266
7	14	1236
8	16	1235
9	18	1243
10	19	1231
11	21	1232
12	23	1234
13	24	1185
14	26	1193
15	28	1199
16	29	1198
17	32	1215
18	33	1212
19	35	1193
20	36	1169
21	37	1146
22	38	1123
23	39	1103
24	40	1082
25	41	1067
26	42	1060
27	43	1049
28	44	1036
29	46	1045
30	49	1070
31	51	1067
32	52	1059
33	53	1056
34	55	1055
35	57	1051
36	58	1041
37	59	1030
38	60	1026
39	61	1019
40	62	1009
41	63	1000
42	64	991
43	65	983
44	66	973
45	68	967
46	69	962
47	70	958
48	71	943
49	72	937
50	73	933
51	74	923
52	75	916
53	76	914
54	77	912
55	78	904
56	79	898
57	80	893
58	81	887
59	82	882
60	83	877
61	84	873
62	85	868
63	87	865
64	89	870
65	90	868
66	91	866
67	92	864
68	93	859
69	95	855
70	96	851
71	97	847
72	98	843
73	99	839
74	100	835
75	101	832
76	102	830
77	103	827
78	104	824
79	106	822
80	107	821
81	108	816
82	109	814
83	110	810
84	111	806
85	111	799
86	112	795
87	113	791
88	114	787
89	115	784
90	116	780
91	117	778
92	118	775
93	119	773
94	121	770
95	122	768
96	123	765
97	124	762
98	125	760
99	126	759
100	127	756
101	128	753
102	130	756
103	131	751
104	132	749
105	133	746
106	134	743
107	135	740
108	136	738
109	137	735
110	138	734
111	139	732
112	140	730
113	141	727
114	142	725
115	143	723
116	144	720
117	145	718
118	147	717
119	148	715
120	149	713
121	150	711
122	151	708
123	151	704
124	152	702
125	153	700
126	154	698
127	155	696
128	157	694
129	158	693
130	159	692
131	160	690
132	161	687
133	162	685
134	163	682
135	164	682
136	165	681
137	167	682
138	168	681
139	169	679
140	171	678
141	172	676
142	173	675
143	174	673
144	175	670
145	176	669
146	177	667
147	178	665
148	179	663
149	180	661
150	181	659
151	182	657
152	183	655
153	184	653
154	185	651
155	186	649
156	187	648
157	188	646
158	189	644
159	190	643
160	191	641
161	192	640
162	193	638
163	194	636
164	195	634
165	196	632
166	197	630
167	198	629
168	199	627
169	200	625
170	201	624
171	202	622
172	203	620
173	204	619
174	205	617
175	206	615
176	207	614
177	209	613
178	210	612
179	211	610
180	212	609
181	213	607
182	214	605
183	215	603
184	216	603
185	217	601
186	219	601
187	220	599
188	221	598
189	222	596
190	223	594
191	224	594
192	226	593
193	227	593
194	228	592
195	229	590
196	230	589
197	231	587
198	232	586
199	233	584
200	234	582
201	235	581
202	237	580
203	238	581
204	241	584
205	244	585
206	245	585
207	246	584
208	248	582
209	249	581
210	250	579
211	251	578
212	252	576
213	253	575
214	253	572
215	254	571
216	255	569
217	256	568
218	257	566
219	258	564
220	259	563
221	260	561
222	261	560
223	263	559
224	264	558
225	265	557
226	266	555
227	268	555
228	269	553
229	270	553
230	271	551
231	272	550
232	273	548
233	274	547
234	275	546
235	276	544
236	277	543
237	279	541
238	280	540
239	281	539
240	283	539
241	284	537
242	285	536
243	286	535
244	287	533
245	288	532
246	289	530
247	289	528
248	290	526
249	292	526
250	293	524
251	294	522
252	295	521
253	296	520
254	297	519
255	299	519
256	300	518
257	301	517
258	302	515
259	303	514
260	304	512
261	305	511
262	306	510
263	307	508
264	308	506
265	309	505
266	310	503
267	311	502
268	313	501
269	314	500
270	315	499
271	316	498
272	317	497
273	318	495
274	320	494
275	321	493
276	322	491
277	323	490
278	324	488
279	325	487
280	326	486
281	327	484
282	328	483
283	329	482
284	330	481
285	331	479
286	332	478
287	333	477
288	334	476
289	335	474
290	336	473
291	337	472
292	339	471
293	340	469
294	341	468
295	342	467
296	344	466
297	345	465
298	346	464
299	347	463
300	348	461
301	349	460
302	350	458
303	351	457
304	352	456
305	353	454
306	354	453
307	355	452
308	356	451
309	357	450
310	360	450
311	361	449
312	363	449
313	365	449
314	367	448
315	368	448
316	370	448
317	372	446
318	373	445
319	374	444
320	376	444
321	378	444
322	381	445
323	383	445
324	385	444
325	388	445
326	389	444
327	391	444
328	393	443
329	394	442
330	396	441
331	397	440
332	398	439
333	400	438
334	401	437
335	403	436
336	404	435
337	405	433
338	405	432
339	406	430
340	407	429
341	408	428
342	409	426
343	411	425
344	411	423
345	412	422
346	413	420
347	415	420
348	417	419
349	419	419
350	421	419
351	423	418
352	425	418
353	427	417
354	428	416
355	429	415
356	431	414
357	432	413
358	433	411
359	434	410
360	436	409
361	437	408
362	438	407
363	440	406
364	441	405
365	442	403
366	443	402
367	444	400
368	445	399
369	446	398
370	447	396
371	448	395
372	449	394
373	450	392
374	451	391
375	452	389
376	453	388
377	454	387
378	455	385
379	458	386
380	463	387
381	463	385
382	465	385
383	465	383
384	467	382
385	469	381
386	471	381
387	472	380
388	474	379
389	476	379
390	479	378
391	481	378
392	483	377
393	484	376
394	485	375
395	486	373
396	487	372
397	488	371
398	490	369
399	491	368
400	492	367
401	494	366
402	495	365
403	496	363
404	497	362
405	498	360
406	499	359
407	500	358
408	501	356
409	502	355
410	503	354
411	504	352
412	505	351
413	506	350
414	507	348
415	508	347
416	509	345
417	510	344
418	511	343
419	512	341
420	513	340
421	514	339
422	515	337
423	517	336
424	518	335
425	520	334
426	521	333
427	522	331
428	523	330
429	524	329
430	525	327
431	526	326
432	527	325
433	528	324
434	529	322
435	530	321
436	532	320
437	533	319
438	535	318
439	536	316
440	537	315
441	538	314
442	539	312
443	540	311
444	541	310
445	542	308
446	543	307
447	544	306
448	545	305
449	546	303
450	548	302
451	549	301
452	550	299
453	551	298
454	552	297
455	553	296
456	554	294
457	555	293
458	556	292
459	557	290
460	558	289
461	559	288
462	560	286
463	561	285
464	562	284
465	563	282
466	564	281
467	565	280
468	565	278
469	566	277
470	567	275
471	568	274
472	570	273
473	571	272
474	572	271
475	574	270
476	575	269
477	577	268
478	579	267
479	580	266
480	582	265
481	584	264
482	586	263
483	587	262
484	589	261
485	590	260
486	591	258
487	592	257
488	593	256
489	595	255
490	596	253
491	597	252
492	599	251
493	599	250
494	600	248
